"state_full","median_household_income","share_unemployed_seasonal","share_population_in_metro_areas","share_population_with_high_school_degree","share_non_citizen","share_white_poverty","gini_index","share_non_white","share_voters_voted_trump","hate_crimes_per_100k_splc","avg_hatecrimes_per_100k_fbi","state_abbrev","confederate","elasticity","FIP","Year","HFR","HFR_se","universl","permit","Fem_FS_S","Male_FS_S","BRFSS","GALLUP","GSS","PEW","HuntLic","GunsAmmo","BackChk","PewQChng","BS1","BS2","BS3","X","HateGroupCount"
"Alabama",42278,0.06,0.64,0.821,0.02,0.12,0.472,0.35,0.63,0.125838926,1.806410489,"AL","Yes",0.89,1,2016,0.528,0.028,"No","No",0.646341463,0.711538462,-9,-9,0.471447957,0.649360662,0.341757544,-0.219699186,0.270898447,1,12,12,12,0,16
"Alaska",67629,0.064,0.63,0.914,0.04,0.06,0.422,0.42,0.53,0.143740118,1.656700109,"AK","No",1.16,2,2016,0.572,0.032,"No","No",0.369565217,0.653061224,-9,-9,-9,0.666124712,0.657790577,0.740571558,1.937272123,1,12,12,12,1,2
"Arizona",49254,0.063,0.9,0.842,0.1,0.09,0.455,0.49,0.5,0.225319954,3.413927994,"AZ","No",1.05,4,2016,0.36,0.028,"No","No",0.409090909,0.647715736,-9,-9,0.372834325,0.38709837,0.243218391,0.071987529,-0.447685367,1,12,12,12,2,21
"Arkansas",44922,0.052,0.69,0.824,0.04,0.12,0.458,0.26,0.6,0.069060773,0.869208872,"AR","Yes",1,5,2016,0.518,0.028,"No","No",0.510638298,0.625603865,-9,-9,0.48098291,0.661607791,0.363894877,0.093630671,0.308392056,1,12,12,12,3,15
"California",60487,0.059,0.97,0.806,0.13,0.09,0.471,0.61,0.33,0.255805361,2.397985899,"CA","No",0.94,6,2016,0.163,0.028,"Yes","Yes",0.182547643,0.428571429,-9,-9,0.186860452,0.240007863,0.160670983,-1.473129582,-0.898778235,1,12,12,12,4,88
"Colorado",60940,0.04,0.8,0.893,0.06,0.07,0.457,0.31,0.44,0.390523301,2.804688765,"CO","No",1.07,8,2016,0.379,0.028,"Yes","No",0.337164751,0.578831312,-9,-9,0.322769717,0.476515905,0.281930716,0.20884484,0.814156164,1,12,12,12,5,22
"Connecticut",70161,0.052,0.94,0.886,0.06,0.06,0.486,0.3,0.41,0.335392269,3.772701469,"CT","No",0.99,9,2016,0.188,0.028,"Yes","Yes",0.07826087,0.358156028,-9,-9,0.245674815,0.272317062,0.188096983,-0.843627833,-0.439762876,1,12,12,12,6,8
"Delaware",57522,0.049,0.9,0.874,0.05,0.08,0.44,0.37,0.42,0.322754169,1.469979563,"DE","No",0.93,10,2016,0.387,0.028,"Yes","No",0.428571429,0.571428571,-9,-9,0.381303805,0.499978554,0.231977338,-0.676873538,-0.209438738,1,12,12,12,7,3
"District of Columbia",68277,0.067,1,0.871,0.11,0.04,0.532,0.63,0.04,1.52230172,10.95347971,"DC","No",0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,19
"Florida",46140,0.052,0.96,0.853,0.09,0.11,0.474,0.46,0.49,0.187521223,0.698070342,"FL","Yes",1.03,12,2016,0.288,0.028,"No","No",0.353689567,0.591429784,-9,-9,0.232072013,0.374912729,0.127688819,-0.777548843,-0.222021679,1,12,12,12,9,67
"Georgia",49555,0.058,0.82,0.839,0.08,0.09,0.468,0.48,0.51,0.120420267,0.412011824,"GA","Yes",0.9,13,2016,0.377,0.028,"No","No",0.47266881,0.659380692,-9,-9,0.310039574,0.472257887,0.354964361,-0.916168074,-0.801951631,1,12,12,12,10,38
"Hawaii",71223,0.034,0.76,0.904,0.08,0.07,0.433,0.81,0.3,NA,NA,"HI","No",1.07,15,2016,0.091,0.032,"Yes","Yes",0.172413793,0.220689655,-9,-9,-9,0.249687765,0.089928685,-2.244039378,-1.695030301,1,12,12,12,11,4
"Idaho",53438,0.042,0.7,0.884,0.04,0.11,0.433,0.16,0.59,0.124208173,1.891330529,"ID","No",1.12,16,2016,0.578,0.032,"No","No",0.43902439,0.665427509,-9,-9,-9,0.682871621,0.714829614,1.396697636,0.388481222,1,12,12,12,12,7
"Illinois",54916,0.054,0.9,0.864,0.07,0.07,0.465,0.37,0.39,0.195344549,1.044015798,"IL","No",1.01,17,2016,0.226,0.028,"No","Yes",0.151898734,0.416742493,-9,-9,0.254503164,0.290751749,0.334341167,-0.50122804,-0.611012002,1,12,12,12,13,26
"Indiana",48060,0.044,0.79,0.866,0.03,0.12,0.44,0.2,0.57,0.247008877,1.757356567,"IN","No",0.99,18,2016,0.424,0.028,"No","No",0.43814433,0.602380952,-9,-9,0.370503981,0.535434757,0.248126708,0.292802848,0.51166661,1,12,12,12,14,20
"Iowa",57810,0.036,0.6,0.914,0.03,0.09,0.427,0.15,0.52,0.454427421,0.561395565,"IA","No",1.08,19,2016,0.385,0.032,"Yes","Yes",0.205128205,0.568364611,-9,-9,-9,0.54858179,0.417568069,0.553875549,-1.657150216,1,12,12,12,15,3
"Kansas",53444,0.044,0.64,0.897,0.04,0.11,0.445,0.25,0.57,0.105152471,2.143986672,"KS","No",1,20,2016,0.423,0.028,"No","No",0.258928571,0.567164179,-9,-9,0.383091297,0.549434053,0.353712213,0.767175162,0.053005321,1,12,12,12,16,3
"Kentucky",42786,0.05,0.56,0.817,0.03,0.17,0.466,0.15,0.63,0.324396969,4.207889621,"KY","Yes",0.94,21,2016,0.525,0.028,"No","No",0.518292683,0.692567568,-9,-9,0.460908772,0.669965413,0.342384215,0.019444155,0.325196929,1,12,12,12,17,15
"Louisiana",42406,0.06,0.81,0.822,0.02,0.12,0.475,0.42,0.58,0.109733348,1.341169554,"LA","Yes",0.96,22,2016,0.523,0.028,"No","No",0.576687117,0.673151751,-9,-9,0.471968372,0.659391448,0.365110403,-0.74955713,0.59296949,1,12,12,12,18,21
